Start X,Start Y,Goal X,Goal Y,Epsilon,Max N,Success,Time (ms),Path Length
0.0,0.0,5.0,5.0,0.3,100,True,6.19,1
0.0,0.0,5.0,5.0,0.3,500,True,57.08,1
0.0,0.0,5.0,5.0,0.3,1000,True,137.67,1
0.0,0.0,5.0,5.0,0.3,5000,True,3080.86,1
0.0,0.0,5.0,5.0,0.5,100,True,6.99,1
0.0,0.0,5.0,5.0,0.5,500,True,41.86,1
0.0,0.0,5.0,5.0,0.5,1000,True,160.52,1
0.0,0.0,5.0,5.0,0.5,5000,True,3955.12,1
0.0,0.0,5.0,5.0,1.0,100,True,8.44,1
0.0,0.0,5.0,5.0,1.0,500,True,57.68,1
0.0,0.0,5.0,5.0,1.0,1000,True,166.82,1
0.0,0.0,5.0,5.0,1.0,5000,True,3748.12,1
0.0,0.0,5.0,5.0,1.5,100,True,10.61,1
0.0,0.0,5.0,5.0,1.5,500,True,61.44,1
0.0,0.0,5.0,5.0,1.5,1000,True,166.88,1
0.0,0.0,5.0,5.0,1.5,5000,True,3686.56,1
0.0,0.0,8.0,3.0,0.3,100,True,6.06,1
0.0,0.0,8.0,3.0,0.3,500,True,36.76,1
0.0,0.0,8.0,3.0,0.3,1000,True,110.59,1
0.0,0.0,8.0,3.0,0.3,5000,True,3038.53,1
0.0,0.0,8.0,3.0,0.5,100,True,7.31,1
0.0,0.0,8.0,3.0,0.5,500,True,47.72,1
0.0,0.0,8.0,3.0,0.5,1000,True,143.97,1
0.0,0.0,8.0,3.0,0.5,5000,True,3498.27,1
0.0,0.0,8.0,3.0,1.0,100,True,8.90,1
0.0,0.0,8.0,3.0,1.0,500,True,54.56,1
0.0,0.0,8.0,3.0,1.0,1000,True,185.86,1
0.0,0.0,8.0,3.0,1.0,5000,True,3688.77,1
0.0,0.0,8.0,3.0,1.5,100,True,8.85,1
0.0,0.0,8.0,3.0,1.5,500,True,67.43,1
0.0,0.0,8.0,3.0,1.5,1000,True,170.92,1
0.0,0.0,8.0,3.0,1.5,5000,True,3857.76,1
0.0,0.0,3.0,8.0,0.3,100,True,6.66,1
0.0,0.0,3.0,8.0,0.3,500,True,35.04,1
0.0,0.0,3.0,8.0,0.3,1000,True,109.89,1
0.0,0.0,3.0,8.0,0.3,5000,True,2940.14,1
0.0,0.0,3.0,8.0,0.5,100,True,7.09,1
0.0,0.0,3.0,8.0,0.5,500,True,46.94,1
0.0,0.0,3.0,8.0,0.5,1000,True,124.08,1
0.0,0.0,3.0,8.0,0.5,5000,True,3485.16,1
0.0,0.0,3.0,8.0,1.0,100,True,10.07,1
0.0,0.0,3.0,8.0,1.0,500,True,58.22,1
0.0,0.0,3.0,8.0,1.0,1000,True,204.63,1
0.0,0.0,3.0,8.0,1.0,5000,True,3789.05,1
0.0,0.0,3.0,8.0,1.5,100,True,9.03,1
0.0,0.0,3.0,8.0,1.5,500,True,54.62,1
0.0,0.0,3.0,8.0,1.5,1000,True,169.41,1
0.0,0.0,3.0,8.0,1.5,5000,True,3597.19,1
2.0,2.0,7.0,7.0,0.3,100,True,6.34,1
2.0,2.0,7.0,7.0,0.3,500,True,58.60,1
2.0,2.0,7.0,7.0,0.3,1000,True,121.21,1
2.0,2.0,7.0,7.0,0.3,5000,True,3080.40,1
2.0,2.0,7.0,7.0,0.5,100,True,7.65,1
2.0,2.0,7.0,7.0,0.5,500,True,49.18,1
2.0,2.0,7.0,7.0,0.5,1000,True,151.29,1
2.0,2.0,7.0,7.0,0.5,5000,True,3759.10,1
2.0,2.0,7.0,7.0,1.0,100,True,9.19,1
2.0,2.0,7.0,7.0,1.0,500,True,58.17,1
2.0,2.0,7.0,7.0,1.0,1000,True,171.15,1
2.0,2.0,7.0,7.0,1.0,5000,True,4085.62,1
2.0,2.0,7.0,7.0,1.5,100,True,16.39,1
2.0,2.0,7.0,7.0,1.5,500,True,64.75,1
2.0,2.0,7.0,7.0,1.5,1000,True,179.69,1
2.0,2.0,7.0,7.0,1.5,5000,True,3826.53,1
