alpha,beta,mean_error,final_error,steps
0.05,0.05,0.01849603215456444,0.09712158029192589,353
0.05,0.5375,0.026074973187283346,0.08780853476325638,708
0.05,1.025,0.03342869458814956,0.08898553203550938,1072
0.5375,0.05,0.03556891992832535,0.07068911322199105,350
0.05,1.5125,0.03881851129377405,0.0954324797825885,1422
0.05,2.0,0.04284650319652276,0.07803938708296675,1763
1.025,0.05,0.05316984068669189,0.06703518269809386,348
1.5125,0.05,0.06500143468094884,0.09101231240886705,347
2.0,0.05,0.07475040919715598,0.08492101412221731,347
0.5375,0.5375,0.0828195770242122,0.08438574276207933,462
1.025,1.025,0.10090096459538031,0.11818853724827967,8000
1.025,0.5375,0.10825159908996183,0.09830500710255895,434
0.5375,1.025,0.11935056668951904,0.09616674749250183,605
1.5125,0.5375,0.12399186664158082,0.09766456679910661,423
1.025,1.5125,0.13329561773560472,0.157579554005185,8000
0.5375,1.5125,0.14355969363403334,0.0964106790837815,743
0.5375,2.0,0.16089903272891684,0.09827029399110536,877
1.025,2.0,0.1659123924717548,0.19943962403466461,8000
1.5125,1.025,0.20371174573268422,0.2527580594725194,8000
2.0,0.5375,0.21598484841304805,0.2699229516139222,8000
