rep,start,goal,diagonals,cost_radius,success,time_ms,points
1,"(0.0, 0.0)","(5.0, 0.0)",True,0.3,1,125.707,106
2,"(0.0, 0.0)","(5.0, 0.0)",True,0.3,1,137.293,106
3,"(0.0, 0.0)","(5.0, 0.0)",True,0.3,1,153.918,106
4,"(0.0, 0.0)","(5.0, 0.0)",True,0.3,1,171.626,106
5,"(0.0, 0.0)","(5.0, 0.0)",True,0.3,1,177.941,106
1,"(0.0, 0.0)","(5.0, 0.0)",False,0.3,1,116.773,148
2,"(0.0, 0.0)","(5.0, 0.0)",False,0.3,1,104.992,148
3,"(0.0, 0.0)","(5.0, 0.0)",False,0.3,1,93.103,148
4,"(0.0, 0.0)","(5.0, 0.0)",False,0.3,1,101.910,148
5,"(0.0, 0.0)","(5.0, 0.0)",False,0.3,1,103.459,148
1,"(0.0, 0.0)","(5.0, 6.5)",True,0.3,1,242.583,130
2,"(0.0, 0.0)","(5.0, 6.5)",True,0.3,1,193.096,130
3,"(0.0, 0.0)","(5.0, 6.5)",True,0.3,1,182.090,130
4,"(0.0, 0.0)","(5.0, 6.5)",True,0.3,1,226.482,130
5,"(0.0, 0.0)","(5.0, 6.5)",True,0.3,1,249.908,130
1,"(0.0, 0.0)","(5.0, 6.5)",False,0.3,1,419.025,230
2,"(0.0, 0.0)","(5.0, 6.5)",False,0.3,1,433.266,230
3,"(0.0, 0.0)","(5.0, 6.5)",False,0.3,1,461.475,230
4,"(0.0, 0.0)","(5.0, 6.5)",False,0.3,1,415.450,230
5,"(0.0, 0.0)","(5.0, 6.5)",False,0.3,1,425.285,230
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",True,0.3,1,67.207,204
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",True,0.3,1,66.475,204
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",True,0.3,1,61.339,204
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",True,0.3,1,59.540,204
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",True,0.3,1,61.681,204
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",False,0.3,1,52.412,228
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",False,0.3,1,51.861,228
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",False,0.3,1,50.761,228
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",False,0.3,1,51.307,228
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",False,0.3,1,56.243,228
1,"(0.0, 0.0)","(5.0, 0.0)",True,0.55,1,259.112,124
2,"(0.0, 0.0)","(5.0, 0.0)",True,0.55,1,262.048,124
3,"(0.0, 0.0)","(5.0, 0.0)",True,0.55,1,254.127,124
4,"(0.0, 0.0)","(5.0, 0.0)",True,0.55,1,243.817,124
5,"(0.0, 0.0)","(5.0, 0.0)",True,0.55,1,248.971,124
1,"(0.0, 0.0)","(5.0, 0.0)",False,0.55,1,187.583,162
2,"(0.0, 0.0)","(5.0, 0.0)",False,0.55,1,188.954,162
3,"(0.0, 0.0)","(5.0, 0.0)",False,0.55,1,155.969,162
4,"(0.0, 0.0)","(5.0, 0.0)",False,0.55,1,116.978,162
5,"(0.0, 0.0)","(5.0, 0.0)",False,0.55,1,126.201,162
1,"(0.0, 0.0)","(5.0, 6.5)",True,0.55,1,391.129,132
2,"(0.0, 0.0)","(5.0, 6.5)",True,0.55,1,476.093,132
3,"(0.0, 0.0)","(5.0, 6.5)",True,0.55,1,437.602,132
4,"(0.0, 0.0)","(5.0, 6.5)",True,0.55,1,425.546,132
5,"(0.0, 0.0)","(5.0, 6.5)",True,0.55,1,425.225,132
1,"(0.0, 0.0)","(5.0, 6.5)",False,0.55,1,436.340,230
2,"(0.0, 0.0)","(5.0, 6.5)",False,0.55,1,443.358,230
3,"(0.0, 0.0)","(5.0, 6.5)",False,0.55,1,433.965,230
4,"(0.0, 0.0)","(5.0, 6.5)",False,0.55,1,455.160,230
5,"(0.0, 0.0)","(5.0, 6.5)",False,0.55,1,366.781,230
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",True,0.55,1,460.067,213
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",True,0.55,1,450.365,213
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",True,0.55,1,441.774,213
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",True,0.55,1,523.764,213
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",True,0.55,1,519.239,213
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",False,0.55,1,323.769,248
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",False,0.55,1,309.955,248
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",False,0.55,1,312.828,248
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",False,0.55,1,321.004,248
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",False,0.55,1,312.244,248
1,"(0.0, 0.0)","(5.0, 0.0)",True,0.9,1,482.705,146
2,"(0.0, 0.0)","(5.0, 0.0)",True,0.9,1,525.712,146
3,"(0.0, 0.0)","(5.0, 0.0)",True,0.9,1,564.506,146
4,"(0.0, 0.0)","(5.0, 0.0)",True,0.9,1,607.567,146
5,"(0.0, 0.0)","(5.0, 0.0)",True,0.9,1,1206.949,146
1,"(0.0, 0.0)","(5.0, 0.0)",False,0.9,1,743.679,190
2,"(0.0, 0.0)","(5.0, 0.0)",False,0.9,1,895.123,190
3,"(0.0, 0.0)","(5.0, 0.0)",False,0.9,1,594.096,190
4,"(0.0, 0.0)","(5.0, 0.0)",False,0.9,1,488.916,190
5,"(0.0, 0.0)","(5.0, 0.0)",False,0.9,1,417.446,190
1,"(0.0, 0.0)","(5.0, 6.5)",True,0.9,1,778.745,141
2,"(0.0, 0.0)","(5.0, 6.5)",True,0.9,1,724.784,141
3,"(0.0, 0.0)","(5.0, 6.5)",True,0.9,1,635.842,141
4,"(0.0, 0.0)","(5.0, 6.5)",True,0.9,1,722.676,141
5,"(0.0, 0.0)","(5.0, 6.5)",True,0.9,1,945.660,141
1,"(0.0, 0.0)","(5.0, 6.5)",False,0.9,1,720.934,230
2,"(0.0, 0.0)","(5.0, 6.5)",False,0.9,1,579.705,230
3,"(0.0, 0.0)","(5.0, 6.5)",False,0.9,1,789.464,230
4,"(0.0, 0.0)","(5.0, 6.5)",False,0.9,1,730.762,230
5,"(0.0, 0.0)","(5.0, 6.5)",False,0.9,1,703.735,230
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",True,0.9,1,1201.755,221
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",True,0.9,1,1115.870,221
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",True,0.9,1,1026.635,221
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",True,0.9,1,1279.653,221
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",True,0.9,1,1247.773,221
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",False,0.9,1,902.144,276
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",False,0.9,1,1165.971,276
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",False,0.9,1,1530.660,276
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",False,0.9,1,1219.296,276
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",False,0.9,1,1077.535,276
