Rep,start,goal,epsilon,max_attempts,success,execution_time_ms
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.5,200,0,62.108796
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.5,200,0,42.211029
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.5,200,0,50.336695
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.5,200,0,43.515251
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.5,200,0,37.905263
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.5,50,0,7.722808
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.5,50,0,9.784471
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.5,50,0,8.934912
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.5,50,0,12.632485
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.5,50,0,9.334985
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.5,700,1,223.311723
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.5,700,1,136.071589
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.5,700,1,239.714534
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.5,700,1,179.928863
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.5,700,1,202.544564
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.5,2000,1,98.539125
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.5,2000,1,451.400681
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.5,2000,1,179.117883
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.5,2000,1,185.25315
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.5,2000,1,174.01508
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.1,200,0,32.852718
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.1,200,0,35.486299
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.1,200,0,31.106929
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.1,200,0,24.493772
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.1,200,0,37.028361
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.1,50,0,8.051906
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.1,50,0,6.964877
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.1,50,0,7.013979
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.1,50,0,7.210488
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.1,50,0,10.960347
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.1,700,0,218.466689
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.1,700,0,213.989863
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.1,700,0,208.641709
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.1,700,0,337.809073
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.1,700,0,251.621244
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.1,2000,0,1606.742782
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.1,2000,0,1253.299889
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.1,2000,0,1871.037897
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.1,2000,0,1541.54296
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.1,2000,0,1623.914541
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.75,200,1,30.61975
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.75,200,0,52.45032
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.75,200,0,46.113851
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.75,200,0,57.06783
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.75,200,0,57.210518
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.75,50,0,12.847648
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.75,50,0,12.610018
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.75,50,0,11.216274
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.75,50,0,9.795185
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.75,50,0,12.537313
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.75,700,1,85.16061
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.75,700,1,95.523467
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.75,700,1,37.123446
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.75,700,1,30.509745
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.75,700,1,70.946612
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.75,2000,1,123.915446
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.75,2000,1,65.168684
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.75,2000,1,84.701004
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.75,2000,1,131.919073
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",0.75,2000,1,148.472402
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",1.2,200,1,43.081191
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",1.2,200,1,38.11144
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",1.2,200,1,41.812715
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",1.2,200,0,64.283608
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",1.2,200,1,47.679005
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",1.2,50,0,13.946148
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",1.2,50,1,12.004919
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",1.2,50,0,13.592448
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",1.2,50,0,14.15663
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",1.2,50,0,10.652818
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",1.2,700,1,42.172809
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",1.2,700,1,28.834064
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",1.2,700,1,15.800602
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",1.2,700,1,110.797503
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",1.2,700,1,37.884517
1,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",1.2,2000,1,23.23831
2,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",1.2,2000,1,27.500651
3,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",1.2,2000,1,46.772128
4,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",1.2,2000,1,45.373012
5,"(0.0, 0.0)","(10.199999809265137, 1.2000000476837158)",1.2,2000,1,87.745876
