Arquitectura,Learning_Rate,Epochs,Batch_Size,Tiempo_Entrenamiento_s,Porcentaje_Exito
"[784, 30, 10]",0.5,3,5,1.73,69.7
"[784, 30, 10]",0.5,3,10,1.63,48.04
"[784, 30, 10]",0.5,3,30,1.55,28.18
"[784, 30, 10]",0.5,3,100,1.54,18.96
"[784, 30, 10]",0.5,10,5,5.78,84.72
"[784, 30, 10]",0.5,10,10,5.39,76.04
"[784, 30, 10]",0.5,10,30,5.15,63.08
"[784, 30, 10]",0.5,10,100,5.11,27.84
"[784, 30, 10]",0.5,50,5,28.62,88.24
"[784, 30, 10]",0.5,50,10,26.6,88.0
"[784, 30, 10]",0.5,50,30,25.65,76.44
"[784, 30, 10]",0.5,50,100,25.04,69.86
"[784, 30, 10]",0.5,100,5,57.13,89.74
"[784, 30, 10]",0.5,100,10,53.63,89.38
"[784, 30, 10]",0.5,100,30,51.27,87.36
"[784, 30, 10]",0.5,100,100,50.06,75.28
"[784, 30, 10]",1.0,3,5,1.7,82.36
"[784, 30, 10]",1.0,3,10,1.61,55.7
"[784, 30, 10]",1.0,3,30,1.54,47.2
"[784, 30, 10]",1.0,3,100,1.5,39.6
"[784, 30, 10]",1.0,10,5,5.66,80.98
"[784, 30, 10]",1.0,10,10,5.27,77.68
"[784, 30, 10]",1.0,10,30,5.06,66.92
"[784, 30, 10]",1.0,10,100,5.01,49.82
"[784, 30, 10]",1.0,50,5,28.54,88.72
"[784, 30, 10]",1.0,50,10,26.94,88.66
"[784, 30, 10]",1.0,50,30,25.76,86.14
"[784, 30, 10]",1.0,50,100,25.13,74.94
"[784, 30, 10]",1.0,100,5,56.97,89.64
"[784, 30, 10]",1.0,100,10,53.72,89.62
"[784, 30, 10]",1.0,100,30,51.39,88.28
"[784, 30, 10]",1.0,100,100,50.23,77.12
"[784, 30, 10]",3.0,3,5,1.71,88.06
"[784, 30, 10]",3.0,3,10,1.61,83.6
"[784, 30, 10]",3.0,3,30,1.54,79.42
"[784, 30, 10]",3.0,3,100,1.51,28.26
"[784, 30, 10]",3.0,10,5,5.68,89.48
"[784, 30, 10]",3.0,10,10,5.29,88.84
"[784, 30, 10]",3.0,10,30,5.05,86.3
"[784, 30, 10]",3.0,10,100,5.0,60.12
"[784, 30, 10]",3.0,50,5,28.45,90.66
"[784, 30, 10]",3.0,50,10,26.8,89.66
"[784, 30, 10]",3.0,50,30,25.65,88.28
"[784, 30, 10]",3.0,50,100,25.13,80.32
"[784, 30, 10]",3.0,100,5,56.94,90.44
"[784, 30, 10]",3.0,100,10,53.71,89.44
"[784, 30, 10]",3.0,100,30,51.4,88.4
"[784, 30, 10]",3.0,100,100,50.28,88.6
"[784, 30, 10]",10.0,3,5,1.71,67.88
"[784, 30, 10]",10.0,3,10,1.62,86.38
"[784, 30, 10]",10.0,3,30,1.54,76.12
"[784, 30, 10]",10.0,3,100,1.51,59.3
"[784, 30, 10]",10.0,10,5,5.67,86.64
"[784, 30, 10]",10.0,10,10,5.33,88.84
"[784, 30, 10]",10.0,10,30,5.08,78.68
"[784, 30, 10]",10.0,10,100,5.02,75.04
"[784, 30, 10]",10.0,50,5,28.47,85.26
"[784, 30, 10]",10.0,50,10,26.85,91.38
"[784, 30, 10]",10.0,50,30,25.72,89.44
"[784, 30, 10]",10.0,50,100,25.14,81.4
"[784, 30, 10]",10.0,100,5,56.84,91.36
"[784, 30, 10]",10.0,100,10,53.75,91.2
"[784, 30, 10]",10.0,100,30,51.35,89.92
"[784, 30, 10]",10.0,100,100,50.23,89.12
