Arquitectura,Learning_Rate,Epochs,Batch_Size,Tiempo_Entrenamiento_s,Porcentaje_Exito
"[784, 30, 10]",0.5,3,5,3.41,73.36
"[784, 30, 10]",0.5,3,10,3.14,49.42
"[784, 30, 10]",0.5,3,30,3.04,27.08
"[784, 30, 10]",0.5,3,100,3.28,28.18
"[784, 30, 10]",0.5,10,5,12.35,86.22
"[784, 30, 10]",0.5,10,10,10.72,82.5
"[784, 30, 10]",0.5,10,30,9.95,57.06
"[784, 30, 10]",0.5,10,100,9.53,27.0
"[784, 30, 10]",0.5,50,5,56.96,88.9
"[784, 30, 10]",0.5,50,10,53.41,87.6
"[784, 30, 10]",0.5,50,30,51.12,85.06
"[784, 30, 10]",0.5,50,100,49.57,44.82
"[784, 30, 10]",0.5,100,5,125.83,89.6
"[784, 30, 10]",0.5,100,10,115.03,89.32
"[784, 30, 10]",0.5,100,30,105.73,87.6
"[784, 30, 10]",0.5,100,100,105.57,81.82
"[784, 30, 10]",1.0,3,5,3.95,72.0
"[784, 30, 10]",1.0,3,10,3.66,54.48
"[784, 30, 10]",1.0,3,30,3.05,50.04
"[784, 30, 10]",1.0,3,100,2.88,40.76
"[784, 30, 10]",1.0,10,5,11.99,80.06
"[784, 30, 10]",1.0,10,10,11.22,86.66
"[784, 30, 10]",1.0,10,30,11.08,68.92
"[784, 30, 10]",1.0,10,100,9.53,48.56
"[784, 30, 10]",1.0,50,5,55.88,89.7
"[784, 30, 10]",1.0,50,10,52.66,89.12
"[784, 30, 10]",1.0,50,30,54.09,86.4
"[784, 30, 10]",1.0,50,100,54.44,72.02
"[784, 30, 10]",1.0,100,5,137.44,89.18
"[784, 30, 10]",1.0,100,10,117.92,89.58
"[784, 30, 10]",1.0,100,30,120.11,88.16
"[784, 30, 10]",1.0,100,100,102.61,68.82
"[784, 30, 10]",3.0,3,5,3.6,84.74
"[784, 30, 10]",3.0,3,10,3.35,85.46
"[784, 30, 10]",3.0,3,30,3.16,55.76
"[784, 30, 10]",3.0,3,100,3.27,42.72
"[784, 30, 10]",3.0,10,5,11.86,89.14
"[784, 30, 10]",3.0,10,10,11.1,88.34
"[784, 30, 10]",3.0,10,30,10.97,85.64
"[784, 30, 10]",3.0,10,100,11.28,64.9
"[784, 30, 10]",3.0,50,5,63.24,90.44
"[784, 30, 10]",3.0,50,10,60.41,89.92
"[784, 30, 10]",3.0,50,30,54.07,88.56
"[784, 30, 10]",3.0,50,100,52.06,87.58
"[784, 30, 10]",3.0,100,5,118.36,90.6
"[784, 30, 10]",3.0,100,10,116.97,89.3
"[784, 30, 10]",3.0,100,30,104.97,88.44
"[784, 30, 10]",3.0,100,100,104.23,80.26
"[784, 30, 10]",10.0,3,5,3.61,73.68
"[784, 30, 10]",10.0,3,10,3.5,77.94
"[784, 30, 10]",10.0,3,30,3.21,77.92
"[784, 30, 10]",10.0,3,100,3.11,65.36
"[784, 30, 10]",10.0,10,5,12.63,88.46
"[784, 30, 10]",10.0,10,10,12.72,82.18
"[784, 30, 10]",10.0,10,30,11.29,88.36
"[784, 30, 10]",10.0,10,100,11.06,77.08
"[784, 30, 10]",10.0,50,5,64.14,89.22
"[784, 30, 10]",10.0,50,10,56.5,90.74
"[784, 30, 10]",10.0,50,30,53.01,90.16
"[784, 30, 10]",10.0,50,100,51.48,89.12
"[784, 30, 10]",10.0,100,5,123.85,90.84
"[784, 30, 10]",10.0,100,10,117.74,91.2
"[784, 30, 10]",10.0,100,30,102.04,90.24
"[784, 30, 10]",10.0,100,100,98.08,88.16
