Arquitectura,Learning_Rate,Epochs,Batch_Size,Tiempo_Entrenamiento_s,Porcentaje_Exito
"[784, 30, 4]",0.5,3,5,3.49,65.06
"[784, 30, 4]",0.5,3,10,3.59,54.82
"[784, 30, 4]",0.5,3,30,3.22,39.06
"[784, 30, 4]",0.5,3,100,3.14,20.5
"[784, 30, 4]",0.5,10,5,11.46,74.9
"[784, 30, 4]",0.5,10,10,11.07,68.58
"[784, 30, 4]",0.5,10,30,10.58,56.02
"[784, 30, 4]",0.5,10,100,10.14,40.24
"[784, 30, 4]",0.5,50,5,60.67,79.32
"[784, 30, 4]",0.5,50,10,60.34,77.96
"[784, 30, 4]",0.5,50,30,53.41,77.14
"[784, 30, 4]",0.5,50,100,51.62,59.34
"[784, 30, 4]",0.5,100,5,120.51,82.04
"[784, 30, 4]",0.5,100,10,110.0,80.5
"[784, 30, 4]",0.5,100,30,109.1,80.26
"[784, 30, 4]",0.5,100,100,104.21,70.42
"[784, 30, 4]",1.0,3,5,3.61,68.56
"[784, 30, 4]",1.0,3,10,3.34,63.2
"[784, 30, 4]",1.0,3,30,3.29,51.44
"[784, 30, 4]",1.0,3,100,3.02,27.64
"[784, 30, 4]",1.0,10,5,12.44,80.32
"[784, 30, 4]",1.0,10,10,11.26,76.82
"[784, 30, 4]",1.0,10,30,13.37,66.42
"[784, 30, 4]",1.0,10,100,10.49,49.4
"[784, 30, 4]",1.0,50,5,57.71,82.36
"[784, 30, 4]",1.0,50,10,54.92,81.94
"[784, 30, 4]",1.0,50,30,57.95,80.16
"[784, 30, 4]",1.0,50,100,53.06,71.8
"[784, 30, 4]",1.0,100,5,121.39,81.08
"[784, 30, 4]",1.0,100,10,109.94,77.98
"[784, 30, 4]",1.0,100,30,101.25,79.6
"[784, 30, 4]",1.0,100,100,95.76,75.48
"[784, 30, 4]",3.0,3,5,3.26,78.78
"[784, 30, 4]",3.0,3,10,3.17,70.48
"[784, 30, 4]",3.0,3,30,2.92,64.96
"[784, 30, 4]",3.0,3,100,3.15,52.36
"[784, 30, 4]",3.0,10,5,11.55,85.02
"[784, 30, 4]",3.0,10,10,10.28,81.08
"[784, 30, 4]",3.0,10,30,9.68,74.72
"[784, 30, 4]",3.0,10,100,9.59,63.24
"[784, 30, 4]",3.0,50,5,62.64,85.36
"[784, 30, 4]",3.0,50,10,55.24,84.52
"[784, 30, 4]",3.0,50,30,50.23,80.44
"[784, 30, 4]",3.0,50,100,48.29,78.24
"[784, 30, 4]",3.0,100,5,111.5,84.88
"[784, 30, 4]",3.0,100,10,103.2,84.82
"[784, 30, 4]",3.0,100,30,97.65,79.84
"[784, 30, 4]",3.0,100,100,95.3,79.92
"[784, 30, 4]",10.0,3,5,3.39,71.82
"[784, 30, 4]",10.0,3,10,3.17,79.72
"[784, 30, 4]",10.0,3,30,3.0,77.2
"[784, 30, 4]",10.0,3,100,2.88,61.98
"[784, 30, 4]",10.0,10,5,11.21,74.28
"[784, 30, 4]",10.0,10,10,10.55,84.44
"[784, 30, 4]",10.0,10,30,10.27,82.78
"[784, 30, 4]",10.0,10,100,9.71,75.24
"[784, 30, 4]",10.0,50,5,57.56,82.46
"[784, 30, 4]",10.0,50,10,53.52,86.84
"[784, 30, 4]",10.0,50,30,51.26,84.58
"[784, 30, 4]",10.0,50,100,49.89,80.54
"[784, 30, 4]",10.0,100,5,112.16,85.16
"[784, 30, 4]",10.0,100,10,118.88,86.62
"[784, 30, 4]",10.0,100,30,104.55,82.92
"[784, 30, 4]",10.0,100,100,101.19,79.84
