Arquitectura,Learning_Rate,Epochs,Batch_Size,Tiempo_Entrenamiento_s,Porcentaje_Exito
"[784, 64, 10]",0.5,3,5,7.03,53.9
"[784, 64, 10]",0.5,3,10,6.13,45.06
"[784, 64, 10]",0.5,3,30,5.85,31.92
"[784, 64, 10]",0.5,3,100,5.82,24.16
"[784, 64, 10]",0.5,10,5,22.39,69.44
"[784, 64, 10]",0.5,10,10,23.58,42.06
"[784, 64, 10]",0.5,10,30,22.95,69.36
"[784, 64, 10]",0.5,10,100,19.39,27.08
"[784, 64, 10]",0.5,50,5,113.93,89.5
"[784, 64, 10]",0.5,50,10,119.72,71.78
"[784, 64, 10]",0.5,50,30,103.69,58.32
"[784, 64, 10]",0.5,50,100,94.43,63.4
"[784, 64, 10]",0.5,100,5,222.63,89.9
"[784, 64, 10]",0.5,100,10,226.27,89.28
"[784, 64, 10]",0.5,100,30,196.57,62.3
"[784, 64, 10]",0.5,100,100,192.49,59.3
"[784, 64, 10]",1.0,3,5,7.06,74.1
"[784, 64, 10]",1.0,3,10,6.39,58.06
"[784, 64, 10]",1.0,3,30,6.09,37.12
"[784, 64, 10]",1.0,3,100,5.77,20.58
"[784, 64, 10]",1.0,10,5,23.41,71.2
"[784, 64, 10]",1.0,10,10,21.13,78.9
"[784, 64, 10]",1.0,10,30,20.36,42.86
"[784, 64, 10]",1.0,10,100,19.49,60.36
"[784, 64, 10]",1.0,50,5,116.53,59.72
"[784, 64, 10]",1.0,50,10,105.22,89.16
"[784, 64, 10]",1.0,50,30,104.38,71.0
"[784, 64, 10]",1.0,50,100,100.1,61.1
"[784, 64, 10]",1.0,100,5,245.34,90.84
"[784, 64, 10]",1.0,100,10,229.65,89.74
"[784, 64, 10]",1.0,100,30,203.85,80.0
"[784, 64, 10]",1.0,100,100,195.13,71.6
"[784, 64, 10]",3.0,3,5,7.56,68.98
"[784, 64, 10]",3.0,3,10,6.54,58.4
"[784, 64, 10]",3.0,3,30,6.38,61.4
"[784, 64, 10]",3.0,3,100,6.05,34.16
"[784, 64, 10]",3.0,10,5,24.27,74.02
"[784, 64, 10]",3.0,10,10,22.32,71.7
"[784, 64, 10]",3.0,10,30,20.97,79.46
"[784, 64, 10]",3.0,10,100,19.56,46.46
"[784, 64, 10]",3.0,50,5,118.29,90.9
"[784, 64, 10]",3.0,50,10,113.71,90.2
"[784, 64, 10]",3.0,50,30,104.93,88.78
"[784, 64, 10]",3.0,50,100,100.25,79.36
"[784, 64, 10]",3.0,100,5,237.26,82.24
"[784, 64, 10]",3.0,100,10,227.09,90.34
"[784, 64, 10]",3.0,100,30,219.41,70.74
"[784, 64, 10]",3.0,100,100,201.27,73.46
"[784, 64, 10]",10.0,3,5,7.16,25.0
"[784, 64, 10]",10.0,3,10,7.06,79.16
"[784, 64, 10]",10.0,3,30,7.32,45.28
"[784, 64, 10]",10.0,3,100,5.92,42.6
"[784, 64, 10]",10.0,10,5,23.4,78.34
"[784, 64, 10]",10.0,10,10,21.15,90.3
"[784, 64, 10]",10.0,10,30,19.79,80.8
"[784, 64, 10]",10.0,10,100,20.07,68.48
"[784, 64, 10]",10.0,50,5,123.19,74.7
"[784, 64, 10]",10.0,50,10,117.28,83.88
"[784, 64, 10]",10.0,50,30,100.01,82.14
"[784, 64, 10]",10.0,50,100,98.53,81.28
"[784, 64, 10]",10.0,100,5,233.08,78.18
"[784, 64, 10]",10.0,100,10,216.45,83.42
"[784, 64, 10]",10.0,100,30,216.4,81.2
"[784, 64, 10]",10.0,100,100,203.06,63.26
