architecture,learning_rate,epochs,batch_size,training_time_s,accuracy_percent
784-30-10,0.5,3,5,2.573866605758667,41.0
784-30-10,0.5,3,10,2.689053773880005,31.0
784-30-10,0.5,3,30,2.5372352600097656,11.0
784-30-10,0.5,3,100,2.018691062927246,0.0
784-30-10,0.5,10,5,9.54794430732727,53.0
784-30-10,0.5,10,10,8.003162145614624,60.0
784-30-10,0.5,10,30,7.213437080383301,31.0
784-30-10,0.5,10,100,6.953383684158325,27.0
784-30-10,0.5,50,5,48.562129735946655,74.0
784-30-10,0.5,50,10,39.70786476135254,82.0
784-30-10,0.5,50,30,36.97927761077881,75.0
784-30-10,0.5,50,100,33.93791317939758,42.0
784-30-10,0.5,100,5,94.25493168830872,87.0
784-30-10,0.5,100,10,105.77611351013184,78.0
784-30-10,0.5,100,30,114.24536538124084,63.0
784-30-10,0.5,100,100,76.73596811294556,60.0
784-30-10,1.0,3,5,3.708991289138794,53.0
784-30-10,1.0,3,10,3.4397027492523193,49.0
784-30-10,1.0,3,30,2.473731756210327,24.0
784-30-10,1.0,3,100,2.052093029022217,11.0
784-30-10,1.0,10,5,9.233300924301147,72.0
784-30-10,1.0,10,10,8.094048023223877,69.0
784-30-10,1.0,10,30,7.267777442932129,53.0
784-30-10,1.0,10,100,6.851389646530151,25.0
784-30-10,1.0,50,5,44.29040479660034,86.0
784-30-10,1.0,50,10,40.91282939910889,80.0
784-30-10,1.0,50,30,36.61913514137268,69.0
784-30-10,1.0,50,100,33.57818651199341,64.0
784-30-10,1.0,100,5,100.86188507080078,82.0
784-30-10,1.0,100,10,86.56163930892944,82.0
784-30-10,1.0,100,30,74.40659213066101,86.0
784-30-10,1.0,100,100,68.24303436279297,79.0
784-30-10,3.0,3,5,2.6646041870117188,75.0
784-30-10,3.0,3,10,2.298529863357544,68.0
784-30-10,3.0,3,30,2.1329402923583984,34.0
784-30-10,3.0,3,100,2.031810760498047,20.0
784-30-10,3.0,10,5,8.652916431427002,86.0
784-30-10,3.0,10,10,7.799420356750488,65.0
784-30-10,3.0,10,30,7.194554328918457,74.0
784-30-10,3.0,10,100,7.0081727504730225,50.0
784-30-10,3.0,50,5,44.50425410270691,80.0
784-30-10,3.0,50,10,39.92820978164673,83.0
784-30-10,3.0,50,30,36.587143659591675,74.0
784-30-10,3.0,50,100,34.445719718933105,75.0
784-30-10,3.0,100,5,92.07844567298889,79.0
784-30-10,3.0,100,10,80.34703063964844,72.0
784-30-10,3.0,100,30,72.67164206504822,68.0
784-30-10,3.0,100,100,69.00160455703735,70.0
784-30-10,10.0,3,5,2.6477818489074707,63.0
784-30-10,10.0,3,10,2.2938108444213867,69.0
784-30-10,10.0,3,30,2.1839728355407715,67.0
784-30-10,10.0,3,100,2.0125064849853516,48.0
784-30-10,10.0,10,5,8.744784593582153,74.0
784-30-10,10.0,10,10,7.947137117385864,77.0
784-30-10,10.0,10,30,7.719164848327637,64.0
784-30-10,10.0,10,100,7.198530673980713,62.0
784-30-10,10.0,50,5,47.68635416030884,82.0
784-30-10,10.0,50,10,41.82301425933838,81.0
784-30-10,10.0,50,30,38.55031776428223,89.0
784-30-10,10.0,50,100,34.55646109580994,77.0
784-30-10,10.0,100,5,93.18561506271362,91.0
784-30-10,10.0,100,10,84.98396039009094,90.0
784-30-10,10.0,100,30,78.50666952133179,85.0
784-30-10,10.0,100,100,68.35369658470154,74.0
