architecture,learning_rate,epochs,batch_size,training_time_s,accuracy_percent
784-30-10,0.5,3,5,3.508742570877075,60.0
784-30-10,0.5,3,10,3.1863064765930176,42.0
784-30-10,0.5,3,30,2.903533458709717,28.000000000000004
784-30-10,0.5,3,100,2.7736637592315674,14.000000000000002
784-30-10,0.5,10,5,11.377726554870605,69.0
784-30-10,0.5,10,10,10.052305698394775,67.0
784-30-10,0.5,10,30,9.122444152832031,56.00000000000001
784-30-10,0.5,10,100,8.585169076919556,25.0
784-30-10,0.5,50,5,55.44921135902405,90.0
784-30-10,0.5,50,10,49.573792695999146,84.0
784-30-10,0.5,50,30,45.250216245651245,70.0
784-30-10,0.5,50,100,43.05798697471619,55.00000000000001
784-30-10,0.5,100,5,109.38562560081482,77.0
784-30-10,0.5,100,10,98.7460265159607,74.0
784-30-10,0.5,100,30,89.12468147277832,73.0
784-30-10,0.5,100,100,84.2913613319397,66.0
784-30-10,1.0,3,5,3.4251039028167725,72.0
784-30-10,1.0,3,10,3.0351791381835938,70.0
784-30-10,1.0,3,30,2.685994863510132,49.0
784-30-10,1.0,3,100,2.7809510231018066,25.0
784-30-10,1.0,10,5,10.79739761352539,76.0
784-30-10,1.0,10,10,9.191128969192505,69.0
784-30-10,1.0,10,30,8.314488172531128,61.0
784-30-10,1.0,10,100,8.275215148925781,34.0
784-30-10,1.0,50,5,55.04404401779175,85.0
784-30-10,1.0,50,10,50.39012265205383,88.0
784-30-10,1.0,50,30,44.93433904647827,69.0
784-30-10,1.0,50,100,42.69929242134094,54.0
784-30-10,1.0,100,5,110.36513328552246,81.0
784-30-10,1.0,100,10,97.64314460754395,81.0
784-30-10,1.0,100,30,88.38661313056946,83.0
784-30-10,1.0,100,100,84.46801161766052,65.0
784-30-10,3.0,3,5,3.1065571308135986,73.0
784-30-10,3.0,3,10,2.970193862915039,79.0
784-30-10,3.0,3,30,2.6585099697113037,63.0
784-30-10,3.0,3,100,2.592578411102295,41.0
784-30-10,3.0,10,5,10.788906812667847,86.0
784-30-10,3.0,10,10,9.911072969436646,79.0
784-30-10,3.0,10,30,8.577882289886475,82.0
784-30-10,3.0,10,100,8.799832582473755,48.0
784-30-10,3.0,50,5,56.11905765533447,86.0
784-30-10,3.0,50,10,51.336578130722046,84.0
784-30-10,3.0,50,30,47.068692445755005,76.0
784-30-10,3.0,50,100,43.97304034233093,70.0
784-30-10,3.0,100,5,112.60610675811768,92.0
784-30-10,3.0,100,10,100.72412610054016,80.0
784-30-10,3.0,100,30,92.48029351234436,81.0
784-30-10,3.0,100,100,87.22390484809875,68.0
784-30-10,10.0,3,5,3.5773634910583496,78.0
784-30-10,10.0,3,10,3.3139164447784424,84.0
784-30-10,10.0,3,30,2.823499917984009,68.0
784-30-10,10.0,3,100,2.6727237701416016,62.0
784-30-10,10.0,10,5,11.061070680618286,72.0
784-30-10,10.0,10,10,9.598092794418335,83.0
784-30-10,10.0,10,30,9.177466630935669,86.0
784-30-10,10.0,10,100,8.926114320755005,71.0
784-30-10,10.0,50,5,56.25423002243042,93.0
784-30-10,10.0,50,10,49.0845787525177,88.0
784-30-10,10.0,50,30,44.70737314224243,89.0
784-30-10,10.0,50,100,42.86992383003235,82.0
784-30-10,10.0,100,5,112.4609694480896,87.0
784-30-10,10.0,100,10,101.69670152664185,86.0
784-30-10,10.0,100,30,90.37513518333435,86.0
784-30-10,10.0,100,100,92.09144139289856,73.0
