Learning Rate,Epochs,Batch Size,Training Time (s),Success Rate (%)
0.5,3,5,1.67,61
0.5,3,10,1.58,54
0.5,3,30,1.53,24
0.5,3,100,1.51,29
0.5,10,5,5.60,78
0.5,10,10,5.28,64
0.5,10,30,5.09,63
0.5,10,100,4.94,36
0.5,50,5,27.94,78
0.5,50,10,25.91,74
0.5,50,30,25.01,76
0.5,50,100,24.68,58
0.5,100,5,55.23,84
0.5,100,10,52.00,80
0.5,100,30,50.06,88
0.5,100,100,49.37,74
1.0,3,5,1.65,63
1.0,3,10,1.55,56
1.0,3,30,1.50,43
1.0,3,100,1.48,30
1.0,10,5,5.50,83
1.0,10,10,5.20,79
1.0,10,30,4.99,64
1.0,10,100,4.95,44
1.0,50,5,27.57,83
1.0,50,10,25.74,90
1.0,50,30,24.81,71
1.0,50,100,24.41,77
1.0,100,5,54.63,82
1.0,100,10,51.37,87
1.0,100,30,49.56,79
1.0,100,100,48.81,75
3.0,3,5,1.63,81
3.0,3,10,1.54,75
3.0,3,30,1.49,65
3.0,3,100,1.46,46
3.0,10,5,5.46,92
3.0,10,10,5.15,76
3.0,10,30,4.98,77
3.0,10,100,4.88,69
3.0,50,5,27.39,91
3.0,50,10,25.89,81
3.0,50,30,24.94,78
3.0,50,100,24.39,74
3.0,100,5,54.87,89
3.0,100,10,51.62,74
3.0,100,30,49.88,87
3.0,100,100,48.81,80
10.0,3,5,1.64,70
10.0,3,10,1.55,73
10.0,3,30,1.50,70
10.0,3,100,1.47,62
10.0,10,5,5.47,74
10.0,10,10,5.14,90
10.0,10,30,4.96,83
10.0,10,100,4.88,79
10.0,50,5,27.46,85
10.0,50,10,25.85,86
10.0,50,30,24.97,76
10.0,50,100,24.42,86
10.0,100,5,54.89,92
10.0,100,10,51.77,89
10.0,100,30,49.98,88
10.0,100,100,48.77,81
