Learning Rate,Epochs,Batch Size,Training Time (s),Success Rate (%)
0.5,3,5,1.71,54
0.5,3,10,1.60,41
0.5,3,30,1.52,11
0.5,3,100,1.50,3
0.5,10,5,5.66,76
0.5,10,10,5.35,42
0.5,10,30,5.10,37
0.5,10,100,5.02,11
0.5,50,5,28.56,82
0.5,50,10,26.54,84
0.5,50,30,25.78,74
0.5,50,100,25.13,44
0.5,100,5,56.96,81
0.5,100,10,53.63,83
0.5,100,30,51.92,75
0.5,100,100,50.05,58
1.0,3,5,1.68,69
1.0,3,10,1.58,46
1.0,3,30,1.52,22
1.0,3,100,1.52,3
1.0,10,5,5.61,79
1.0,10,10,5.31,75
1.0,10,30,5.09,56
1.0,10,100,5.04,24
1.0,50,5,28.65,89
1.0,50,10,26.84,74
1.0,50,30,25.46,70
1.0,50,100,25.00,67
1.0,100,5,55.65,88
1.0,100,10,52.35,71
1.0,100,30,50.48,70
1.0,100,100,49.46,73
3.0,3,5,1.67,73
3.0,3,10,1.57,65
3.0,3,30,1.52,32
3.0,3,100,1.48,24
3.0,10,5,5.55,85
3.0,10,10,5.23,87
3.0,10,30,5.06,79
3.0,10,100,4.94,62
3.0,50,5,27.76,80
3.0,50,10,26.16,87
3.0,50,30,25.21,77
3.0,50,100,24.68,79
3.0,100,5,55.49,80
3.0,100,10,52.25,78
3.0,100,30,50.46,79
3.0,100,100,49.61,85
10.0,3,5,1.77,71
10.0,3,10,1.63,70
10.0,3,30,1.53,74
10.0,3,100,1.50,41
10.0,10,5,5.65,65
10.0,10,10,5.30,87
10.0,10,30,5.07,82
10.0,10,100,5.07,65
10.0,50,5,28.07,83
10.0,50,10,26.85,85
10.0,50,30,25.54,83
10.0,50,100,25.04,82
10.0,100,5,56.40,71
10.0,100,10,53.83,86
10.0,100,30,51.29,94
10.0,100,100,50.02,80
