encoding,arquitectura,learning_rate,epochs,batch_size,tiempo_entrenamiento_s,porcentaje_exito
onehot,"[784, 30, 10]",0.5,3,5,1.79,63.0
onehot,"[784, 30, 10]",0.5,3,10,1.66,56.0
onehot,"[784, 30, 10]",0.5,3,30,1.63,33.0
onehot,"[784, 30, 10]",0.5,3,100,1.66,19.0
onehot,"[784, 30, 10]",0.5,10,5,5.7,88.0
onehot,"[784, 30, 10]",0.5,10,10,5.6,70.0
onehot,"[784, 30, 10]",0.5,10,30,5.44,50.0
onehot,"[784, 30, 10]",0.5,10,100,5.44,26.0
onehot,"[784, 30, 10]",0.5,50,5,28.06,91.0
onehot,"[784, 30, 10]",0.5,50,10,27.79,85.0
onehot,"[784, 30, 10]",0.5,50,30,27.6,88.0
onehot,"[784, 30, 10]",0.5,50,100,27.3,77.0
onehot,"[784, 30, 10]",0.5,100,5,56.68,89.0
onehot,"[784, 30, 10]",0.5,100,10,55.79,85.0
onehot,"[784, 30, 10]",0.5,100,30,54.92,88.0
onehot,"[784, 30, 10]",0.5,100,100,54.16,65.0
onehot,"[784, 30, 10]",1.0,3,5,1.69,73.0
onehot,"[784, 30, 10]",1.0,3,10,1.65,72.0
onehot,"[784, 30, 10]",1.0,3,30,1.62,56.0
onehot,"[784, 30, 10]",1.0,3,100,1.65,19.0
onehot,"[784, 30, 10]",1.0,10,5,5.82,84.0
onehot,"[784, 30, 10]",1.0,10,10,5.81,83.0
onehot,"[784, 30, 10]",1.0,10,30,5.5,75.0
onehot,"[784, 30, 10]",1.0,10,100,5.57,68.0
onehot,"[784, 30, 10]",1.0,50,5,29.69,86.0
onehot,"[784, 30, 10]",1.0,50,10,28.9,87.0
onehot,"[784, 30, 10]",1.0,50,30,27.69,94.0
onehot,"[784, 30, 10]",1.0,50,100,27.62,87.0
onehot,"[784, 30, 10]",1.0,100,5,56.54,93.0
onehot,"[784, 30, 10]",1.0,100,10,55.94,88.0
onehot,"[784, 30, 10]",1.0,100,30,55.12,86.0
onehot,"[784, 30, 10]",1.0,100,100,54.79,86.0
onehot,"[784, 30, 10]",3.0,3,5,1.82,88.0
onehot,"[784, 30, 10]",3.0,3,10,1.77,85.0
onehot,"[784, 30, 10]",3.0,3,30,1.7,70.0
onehot,"[784, 30, 10]",3.0,3,100,1.63,58.0
onehot,"[784, 30, 10]",3.0,10,5,5.7,84.0
onehot,"[784, 30, 10]",3.0,10,10,5.57,86.0
onehot,"[784, 30, 10]",3.0,10,30,5.52,76.0
onehot,"[784, 30, 10]",3.0,10,100,5.55,69.0
onehot,"[784, 30, 10]",3.0,50,5,28.77,92.0
onehot,"[784, 30, 10]",3.0,50,10,28.09,86.0
onehot,"[784, 30, 10]",3.0,50,30,27.4,91.0
onehot,"[784, 30, 10]",3.0,50,100,27.33,88.0
onehot,"[784, 30, 10]",3.0,100,5,57.6,89.0
onehot,"[784, 30, 10]",3.0,100,10,55.59,86.0
onehot,"[784, 30, 10]",3.0,100,30,55.14,97.0
onehot,"[784, 30, 10]",3.0,100,100,55.43,84.0
onehot,"[784, 30, 10]",10.0,3,5,1.72,81.0
onehot,"[784, 30, 10]",10.0,3,10,1.67,78.0
onehot,"[784, 30, 10]",10.0,3,30,1.64,82.0
onehot,"[784, 30, 10]",10.0,3,100,1.65,74.0
onehot,"[784, 30, 10]",10.0,10,5,5.72,81.0
onehot,"[784, 30, 10]",10.0,10,10,5.59,93.0
onehot,"[784, 30, 10]",10.0,10,30,5.49,90.0
onehot,"[784, 30, 10]",10.0,10,100,5.5,79.0
onehot,"[784, 30, 10]",10.0,50,5,29.46,87.0
onehot,"[784, 30, 10]",10.0,50,10,28.18,83.0
onehot,"[784, 30, 10]",10.0,50,30,27.78,91.0
onehot,"[784, 30, 10]",10.0,50,100,27.67,74.0
onehot,"[784, 30, 10]",10.0,100,5,57.85,88.0
onehot,"[784, 30, 10]",10.0,100,10,55.93,92.0
onehot,"[784, 30, 10]",10.0,100,30,55.16,95.0
onehot,"[784, 30, 10]",10.0,100,100,55.14,84.0
onehot,"[784, 50, 10]",0.5,3,5,2.53,67.0
onehot,"[784, 50, 10]",0.5,3,10,2.47,55.0
onehot,"[784, 50, 10]",0.5,3,30,2.43,50.0
onehot,"[784, 50, 10]",0.5,3,100,2.43,23.0
onehot,"[784, 50, 10]",0.5,10,5,8.39,71.0
onehot,"[784, 50, 10]",0.5,10,10,8.33,76.0
onehot,"[784, 50, 10]",0.5,10,30,8.4,52.0
onehot,"[784, 50, 10]",0.5,10,100,8.62,35.0
onehot,"[784, 50, 10]",0.5,50,5,42.34,89.0
onehot,"[784, 50, 10]",0.5,50,10,41.69,75.0
onehot,"[784, 50, 10]",0.5,50,30,41.28,72.0
onehot,"[784, 50, 10]",0.5,50,100,40.76,63.0
onehot,"[784, 50, 10]",0.5,100,5,84.79,89.0
onehot,"[784, 50, 10]",0.5,100,10,82.7,88.0
onehot,"[784, 50, 10]",0.5,100,30,83.38,68.0
onehot,"[784, 50, 10]",0.5,100,100,83.35,68.0
onehot,"[784, 50, 10]",1.0,3,5,2.54,76.0
onehot,"[784, 50, 10]",1.0,3,10,2.64,45.0
onehot,"[784, 50, 10]",1.0,3,30,2.63,37.0
onehot,"[784, 50, 10]",1.0,3,100,2.58,17.0
onehot,"[784, 50, 10]",1.0,10,5,9.03,90.0
onehot,"[784, 50, 10]",1.0,10,10,8.85,80.0
onehot,"[784, 50, 10]",1.0,10,30,8.14,60.0
onehot,"[784, 50, 10]",1.0,10,100,8.1,44.0
onehot,"[784, 50, 10]",1.0,50,5,42.51,86.0
onehot,"[784, 50, 10]",1.0,50,10,41.36,89.0
onehot,"[784, 50, 10]",1.0,50,30,40.89,91.0
onehot,"[784, 50, 10]",1.0,50,100,40.44,74.0
onehot,"[784, 50, 10]",1.0,100,5,84.9,85.0
onehot,"[784, 50, 10]",1.0,100,10,83.02,90.0
onehot,"[784, 50, 10]",1.0,100,30,82.69,79.0
onehot,"[784, 50, 10]",1.0,100,100,81.62,71.0
onehot,"[784, 50, 10]",3.0,3,5,2.54,88.0
onehot,"[784, 50, 10]",3.0,3,10,2.5,58.0
onehot,"[784, 50, 10]",3.0,3,30,2.46,31.0
onehot,"[784, 50, 10]",3.0,3,100,2.44,29.0
onehot,"[784, 50, 10]",3.0,10,5,8.42,84.0
onehot,"[784, 50, 10]",3.0,10,10,8.32,83.0
onehot,"[784, 50, 10]",3.0,10,30,8.16,68.0
onehot,"[784, 50, 10]",3.0,10,100,8.18,71.0
onehot,"[784, 50, 10]",3.0,50,5,43.12,95.0
onehot,"[784, 50, 10]",3.0,50,10,41.26,87.0
onehot,"[784, 50, 10]",3.0,50,30,41.53,72.0
onehot,"[784, 50, 10]",3.0,50,100,41.43,78.0
onehot,"[784, 50, 10]",3.0,100,5,86.28,92.0
onehot,"[784, 50, 10]",3.0,100,10,82.72,80.0
onehot,"[784, 50, 10]",3.0,100,30,82.78,91.0
onehot,"[784, 50, 10]",3.0,100,100,81.29,88.0
onehot,"[784, 50, 10]",10.0,3,5,2.7,43.0
onehot,"[784, 50, 10]",10.0,3,10,2.46,72.0
onehot,"[784, 50, 10]",10.0,3,30,2.44,62.0
onehot,"[784, 50, 10]",10.0,3,100,2.44,46.0
onehot,"[784, 50, 10]",10.0,10,5,8.37,63.0
onehot,"[784, 50, 10]",10.0,10,10,8.31,80.0
onehot,"[784, 50, 10]",10.0,10,30,8.22,88.0
onehot,"[784, 50, 10]",10.0,10,100,8.12,62.0
