experimento_num,variable_modificada,valor_variable,learning_rate,epochs,batch_size,architecture,tiempo_entrenamiento_seg,porcentaje_exito,n_tests
1,learning_rate,0.5,0.5,10,30,784-30-10,6.04,27.0,100
2,learning_rate,1.0,1.0,10,30,784-30-10,6.19,47.0,100
3,learning_rate,3.0,3.0,10,30,784-30-10,6.19,77.0,100
4,learning_rate,10.0,10.0,10,30,784-30-10,6.24,81.0,100
5,epochs,3,1.0,3,30,784-30-10,1.99,22.0,100
6,epochs,50,1.0,50,30,784-30-10,32.96,63.0,100
7,epochs,100,1.0,100,30,784-30-10,64.11,68.0,100
8,batch_size,5,1.0,10,5,784-30-10,7.16,64.0,100
9,batch_size,10,1.0,10,10,784-30-10,6.54,68.0,100
10,batch_size,100,1.0,10,100,784-30-10,5.76,30.0,100
11,architecture,784-64-10,1.0,10,30,784-64-10,10.61,48.0,100
12,architecture,784-30-20-10,1.0,10,30,784-30-20-10,6.89,69.0,100
13,MEJOR_COMBINACION,"lr=10.0, ep=100, batch=10, arch=784-30-10",10.0,100,10,784-30-10,127.73,82.0,100
