Arquitectura,Tasa,Epocas,Lote,Tiempo (s),Exito (%)
"[784, 30, 10]",0.5,3,5,1.676276683807373,33
"[784, 30, 10]",0.5,3,10,1.5449190139770508,32
"[784, 30, 10]",0.5,3,30,1.4755604267120361,8
"[784, 30, 10]",0.5,3,100,1.460721731185913,2
"[784, 30, 10]",0.5,10,5,5.689749240875244,74
"[784, 30, 10]",0.5,10,10,5.499118804931641,62
"[784, 30, 10]",0.5,10,30,5.036803245544434,23
"[784, 30, 10]",0.5,10,100,4.9398815631866455,21
"[784, 30, 10]",0.5,50,5,28.381002187728882,82
"[784, 30, 10]",0.5,50,10,28.344232082366943,85
"[784, 30, 10]",0.5,50,30,24.660403728485107,73
"[784, 30, 10]",0.5,50,100,24.17649817466736,50
"[784, 30, 10]",0.5,100,5,56.85486078262329,86
"[784, 30, 10]",0.5,100,10,52.54592704772949,83
"[784, 30, 10]",0.5,100,30,50.022106647491455,59
"[784, 30, 10]",0.5,100,100,48.43726301193237,65
"[784, 30, 10]",1.0,3,5,1.672245740890503,66
"[784, 30, 10]",1.0,3,10,1.5516688823699951,44
"[784, 30, 10]",1.0,3,30,1.4643845558166504,19
"[784, 30, 10]",1.0,3,100,1.4476685523986816,4
"[784, 30, 10]",1.0,10,5,5.522798776626587,80
"[784, 30, 10]",1.0,10,10,5.188392639160156,64
"[784, 30, 10]",1.0,10,30,4.953312873840332,37
"[784, 30, 10]",1.0,10,100,4.8357203006744385,18
"[784, 30, 10]",1.0,50,5,28.19732666015625,77
"[784, 30, 10]",1.0,50,10,26.153940200805664,76
"[784, 30, 10]",1.0,50,30,25.107364177703857,74
"[784, 30, 10]",1.0,50,100,24.61362051963806,56
"[784, 30, 10]",1.0,100,5,56.88379526138306,88
"[784, 30, 10]",1.0,100,10,52.60408973693848,84
"[784, 30, 10]",1.0,100,30,50.43034219741821,85
"[784, 30, 10]",1.0,100,100,48.89526152610779,71
"[784, 30, 10]",3.0,3,5,1.7112946510314941,69
"[784, 30, 10]",3.0,3,10,1.5851824283599854,74
"[784, 30, 10]",3.0,3,30,1.5128722190856934,43
"[784, 30, 10]",3.0,3,100,1.4830143451690674,33
"[784, 30, 10]",3.0,10,5,5.741155385971069,85
"[784, 30, 10]",3.0,10,10,5.298882246017456,77
"[784, 30, 10]",3.0,10,30,4.951569318771362,66
"[784, 30, 10]",3.0,10,100,4.9377641677856445,52
"[784, 30, 10]",3.0,50,5,28.171640157699585,85
"[784, 30, 10]",3.0,50,10,26.03382134437561,80
"[784, 30, 10]",3.0,50,30,25.15558910369873,80
"[784, 30, 10]",3.0,50,100,24.440938234329224,77
"[784, 30, 10]",3.0,100,5,55.673118114471436,93
"[784, 30, 10]",3.0,100,10,51.715434551239014,84
"[784, 30, 10]",3.0,100,30,50.34996581077576,72
"[784, 30, 10]",3.0,100,100,49.13379168510437,70
"[784, 30, 10]",10.0,3,5,1.6945295333862305,73
"[784, 30, 10]",10.0,3,10,1.5915532112121582,80
"[784, 30, 10]",10.0,3,30,1.5082974433898926,62
"[784, 30, 10]",10.0,3,100,1.4786338806152344,31
"[784, 30, 10]",10.0,10,5,5.622767686843872,75
"[784, 30, 10]",10.0,10,10,5.233225345611572,81
"[784, 30, 10]",10.0,10,30,4.905531883239746,80
"[784, 30, 10]",10.0,10,100,4.809313535690308,52
"[784, 30, 10]",10.0,50,5,27.735601663589478,74
"[784, 30, 10]",10.0,50,10,26.632636070251465,87
"[784, 30, 10]",10.0,50,30,25.226406574249268,85
"[784, 30, 10]",10.0,50,100,24.58715796470642,76
"[784, 30, 10]",10.0,100,5,57.13689565658569,86
"[784, 30, 10]",10.0,100,10,51.60706615447998,86
"[784, 30, 10]",10.0,100,30,49.252490758895874,84
"[784, 30, 10]",10.0,100,100,49.23166489601135,86
"[784, 30, 4]",0.5,3,5,1.704498291015625,66
"[784, 30, 4]",0.5,3,10,1.5703973770141602,47
"[784, 30, 4]",0.5,3,30,1.4899380207061768,19
"[784, 30, 4]",0.5,3,100,1.4577763080596924,17
"[784, 30, 4]",0.5,10,5,5.6457483768463135,77
"[784, 30, 4]",0.5,10,10,5.222717523574829,67
"[784, 30, 4]",0.5,10,30,4.977816820144653,55
"[784, 30, 4]",0.5,10,100,4.795793294906616,28
"[784, 30, 4]",0.5,50,5,27.401609897613525,83
"[784, 30, 4]",0.5,50,10,25.594406127929688,72
