Tasa_Aprendizaje,Epocas,Lote,Tiempo_Segundos,Exito_Porcentaje
0.5,3,5,4.66,61.44
0.5,3,10,1.31,50.64
0.5,3,30,1.19,41.08
0.5,3,100,1.18,22.64
0.5,10,5,4.78,86.28
0.5,10,10,4.19,74.24
0.5,10,30,3.94,34.56
0.5,10,100,3.83,30.48
0.5,50,5,27.59,89.2
0.5,50,10,24.7,88.28
0.5,50,30,20.27,68.02
0.5,50,100,23.48,69.52
0.5,100,5,51.2,89.12
0.5,100,10,48.42,88.42
0.5,100,30,41.91,78.4
0.5,100,100,42.93,74.36
1.0,3,5,1.4,73.72
1.0,3,10,1.29,71.54
1.0,3,30,1.18,39.42
1.0,3,100,1.15,25.86
1.0,10,5,4.69,88.36
1.0,10,10,7.49,86.04
1.0,10,30,3.99,61.38
1.0,10,100,3.9,49.14
1.0,50,5,26.93,89.34
1.0,50,10,21.45,80.28
1.0,50,30,23.29,80.9
1.0,50,100,19.49,75.02
1.0,100,5,53.86,89.34
1.0,100,10,46.46,88.78
1.0,100,30,45.88,88.26
1.0,100,100,42.35,85.66
3.0,3,5,1.44,87.78
3.0,3,10,1.32,84.5
3.0,3,30,1.2,61.72
3.0,3,100,1.19,46.44
3.0,10,5,4.8,89.3
3.0,10,10,4.37,79.66
3.0,10,30,4.02,86.04
3.0,10,100,6.77,75.22
3.0,50,5,24.53,90.8
3.0,50,10,24.64,89.08
3.0,50,30,23.12,89.56
3.0,50,100,19.47,87.44
3.0,100,5,53.73,90.1
3.0,100,10,45.94,90.4
3.0,100,30,43.11,88.24
3.0,100,100,42.37,88.18
10.0,3,5,4.6,79.8
10.0,3,10,1.32,85.34
10.0,3,30,1.21,83.04
10.0,3,100,1.18,70.8
10.0,10,5,4.81,86.48
10.0,10,10,4.34,85.54
10.0,10,30,3.9,88.88
10.0,10,100,4.15,83.58
10.0,50,5,27.32,90.86
10.0,50,10,24.95,91.5
10.0,50,30,19.55,89.74
10.0,50,100,22.11,88.66
10.0,100,5,52.22,89.98
10.0,100,10,50.06,90.9
10.0,100,30,43.69,89.88
10.0,100,100,42.63,88.76
