Tasa_Aprendizaje,Epocas,Lote,Tiempo_Segundos,Exito_Porcentaje
0.5,3,5,1.39,58.1
0.5,3,10,1.25,47.2
0.5,3,30,1.16,25.18
0.5,3,100,1.13,19.34
0.5,10,5,4.61,72.9
0.5,10,10,4.08,65.44
0.5,10,30,3.8,50.26
0.5,10,100,3.71,29.84
0.5,50,5,26.5,81.84
0.5,50,10,24.26,79.1
0.5,50,30,20.84,70.26
0.5,50,100,22.22,56.08
0.5,100,5,52.56,80.96
0.5,100,10,44.93,80.28
0.5,100,30,43.4,75.38
0.5,100,100,41.64,66.72
1.0,3,5,1.53,68.08
1.0,3,10,1.5,59.24
1.0,3,30,1.28,40.66
1.0,3,100,1.54,18.86
1.0,10,5,5.12,79.0
1.0,10,10,4.53,72.36
1.0,10,30,4.23,64.44
1.0,10,100,3.97,39.26
1.0,50,5,26.8,81.2
1.0,50,10,27.23,80.32
1.0,50,30,21.52,77.76
1.0,50,100,24.58,62.26
1.0,100,5,53.95,80.3
1.0,100,10,52.27,80.38
1.0,100,30,41.49,77.94
1.0,100,100,40.67,74.18
3.0,3,5,1.37,76.84
3.0,3,10,1.25,74.28
3.0,3,30,1.15,59.34
3.0,3,100,1.12,40.52
3.0,10,5,7.77,83.82
3.0,10,10,4.13,80.62
3.0,10,30,3.86,75.84
3.0,10,100,3.73,57.44
3.0,50,5,25.96,85.5
3.0,50,10,20.58,82.6
3.0,50,30,22.37,79.2
3.0,50,100,18.7,73.56
3.0,100,5,52.92,84.84
3.0,100,10,45.02,81.58
3.0,100,30,42.43,78.86
3.0,100,100,44.74,79.96
10.0,3,5,1.45,72.34
10.0,3,10,1.29,78.38
10.0,3,30,1.21,74.14
10.0,3,100,1.18,55.88
10.0,10,5,4.81,76.88
10.0,10,10,4.21,82.9
10.0,10,30,3.93,80.66
10.0,10,100,3.77,73.96
10.0,50,5,25.76,85.36
10.0,50,10,24.33,86.04
10.0,50,30,19.64,82.1
10.0,50,100,20.92,79.56
10.0,100,5,50.26,86.24
10.0,100,10,49.71,87.0
10.0,100,30,44.53,81.6
10.0,100,100,44.29,80.02
