architecture,learning_rate,epochs,batch_size,time_sec,accuracy_%
One-hot (10 salidas),0.5,3,5,2.728747844696045,66.0
One-hot (10 salidas),0.5,3,10,2.5520758628845215,55.00000000000001
One-hot (10 salidas),0.5,3,30,2.4222543239593506,42.0
One-hot (10 salidas),0.5,3,100,2.4397740364074707,28.000000000000004
One-hot (10 salidas),0.5,10,5,9.099669694900513,87.0
One-hot (10 salidas),0.5,10,10,8.551088094711304,71.0
One-hot (10 salidas),0.5,10,30,8.187013149261475,49.0
One-hot (10 salidas),0.5,10,100,8.050245523452759,38.0
One-hot (10 salidas),0.5,50,5,46.055556535720825,85.0
One-hot (10 salidas),0.5,50,10,43.99287414550781,90.0
One-hot (10 salidas),0.5,50,30,42.64493203163147,87.0
One-hot (10 salidas),0.5,50,100,42.46851396560669,52.0
One-hot (10 salidas),0.5,100,5,94.28955841064453,88.0
One-hot (10 salidas),0.5,100,10,88.96572613716125,89.0
One-hot (10 salidas),0.5,100,30,85.01304745674133,74.0
One-hot (10 salidas),0.5,100,100,84.18406558036804,70.0
One-hot (10 salidas),1.0,3,5,2.755544662475586,74.0
One-hot (10 salidas),1.0,3,10,2.6450634002685547,61.0
One-hot (10 salidas),1.0,3,30,2.583908796310425,56.00000000000001
One-hot (10 salidas),1.0,3,100,2.602170944213867,27.0
One-hot (10 salidas),1.0,10,5,9.661239624023438,87.0
One-hot (10 salidas),1.0,10,10,9.000674962997437,76.0
One-hot (10 salidas),1.0,10,30,8.614235639572144,76.0
One-hot (10 salidas),1.0,10,100,8.53574824333191,32.0
One-hot (10 salidas),1.0,50,5,47.189661502838135,92.0
One-hot (10 salidas),1.0,50,10,44.41782855987549,77.0
One-hot (10 salidas),1.0,50,30,41.77218198776245,87.0
One-hot (10 salidas),1.0,50,100,42.22999620437622,89.0
One-hot (10 salidas),1.0,100,5,93.91230058670044,84.0
One-hot (10 salidas),1.0,100,10,89.41153264045715,92.0
One-hot (10 salidas),1.0,100,30,84.44558930397034,85.0
One-hot (10 salidas),1.0,100,100,83.26453995704651,87.0
One-hot (10 salidas),3.0,3,5,2.831085681915283,82.0
One-hot (10 salidas),3.0,3,10,2.6795647144317627,81.0
One-hot (10 salidas),3.0,3,30,2.5766761302948,80.0
One-hot (10 salidas),3.0,3,100,2.5639166831970215,34.0
One-hot (10 salidas),3.0,10,5,9.528932094573975,95.0
One-hot (10 salidas),3.0,10,10,9.061065435409546,89.0
One-hot (10 salidas),3.0,10,30,8.616765260696411,79.0
One-hot (10 salidas),3.0,10,100,8.29257583618164,72.0
One-hot (10 salidas),3.0,50,5,47.24691200256348,81.0
One-hot (10 salidas),3.0,50,10,44.672863245010376,90.0
One-hot (10 salidas),3.0,50,30,42.54608488082886,87.0
One-hot (10 salidas),3.0,50,100,42.41742539405823,94.0
One-hot (10 salidas),3.0,100,5,93.91401767730713,86.0
One-hot (10 salidas),3.0,100,10,89.15827488899231,90.0
One-hot (10 salidas),3.0,100,30,85.5256085395813,86.0
One-hot (10 salidas),3.0,100,100,84.81910800933838,92.0
One-hot (10 salidas),10.0,3,5,2.873180389404297,85.0
One-hot (10 salidas),10.0,3,10,2.6818923950195312,90.0
One-hot (10 salidas),10.0,3,30,2.5643773078918457,84.0
