Learning Rate,Epochs,Batch Size,Accuracy,Time
0.5,3,5,0.48271999999999976,1.3674640512466432
0.5,3,10,0.325944,1.296591501235962
0.5,3,30,0.133194,1.2165391159057617
0.5,3,100,0.03703,1.1898050379753113
0.5,10,5,0.7124660000000002,4.724019424915314
0.5,10,10,0.6073620000000001,4.485638701915741
0.5,10,30,0.3546980000000001,4.1683908104896545
0.5,10,100,0.12930000000000003,4.07106722831726
0.5,50,5,0.8122020000000001,23.958595101833343
0.5,50,10,0.7806339999999996,21.955760846138002
0.5,50,30,0.6846860000000001,21.053907165527345
0.5,50,100,0.46507,20.31395760536194
0.5,100,5,0.8150379999999997,47.92638946056366
0.5,100,10,0.803606,44.49778098344803
0.5,100,30,0.763858,41.82284337282181
0.5,100,100,0.607258,40.83846957206726
1.0,3,5,0.625064,1.4306095480918883
1.0,3,10,0.4838600000000001,1.2930419421195984
1.0,3,30,0.24164000000000002,1.2107266879081726
1.0,3,100,0.07513799999999998,1.1930367827415467
1.0,10,5,0.7744580000000002,4.841452360153198
1.0,10,10,0.7127780000000001,4.383056991100311
1.0,10,30,0.5274700000000001,4.148248741626739
1.0,10,100,0.24683400000000005,4.005816473960876
1.0,50,5,0.827992,23.67312318325043
1.0,50,10,0.8041640000000004,22.00073485136032
1.0,50,30,0.75644,20.752926592826842
