param,value,time,accuracy
learning_rate,0.5,3.8126659393310547,48.0
learning_rate,1.0,3.954284906387329,64.0
learning_rate,3.0,3.7758374214172363,72.0
learning_rate,10.0,4.001100778579712,80.0
epochs,3,1.1883747577667236,35.0
epochs,10,3.796285629272461,61.0
epochs,50,18.940229415893555,70.0
epochs,100,38.2460994720459,79.0
batch_size,5,4.104285478591919,88.0
batch_size,10,3.9744887351989746,77.0
batch_size,30,3.784681797027588,63.0
batch_size,100,3.676503896713257,41.0
architecture,"[784,30,4]",3.7482454776763916,63.0
architecture,"[784,64,32,4]",8.793198585510254,70.0
