======================================================================
  RESUMEN DE EXPERIMENTOS - FULL NAME
======================================================================

──────────────────────────────────────────────────────────────────────
  ARQUITECTURA: 784-30-10  (64 experimentos)
──────────────────────────────────────────────────────────────────────
  LR     Epochs   Batch   Tiempo(s)    Precision(%)
  ────── ─────── ────── ─────────── ────────────
  0.5    50       5       21.34        94.0
  0.5    50       30      19.53        94.0
  3.0    100      5       42.8         93.0
  10.0   10       10      4.09         93.0
  10.0   50       30      19.65        93.0
  10.0   100      5       42.8         92.0
  0.5    100      10      40.64        91.0
  10.0   50       5       21.38        91.0
  0.5    100      30      39.46        90.0
  1.0    10       10      4.13         90.0
  1.0    50       100     19.45        90.0
  1.0    100      30      39.31        90.0
  3.0    100      10      40.71        90.0
  3.0    100      100     38.81        90.0
  10.0   50       10      20.3         89.0
  10.0   100      100     38.83        89.0
  1.0    100      10      40.74        88.0
  3.0    50       30      19.62        88.0
  10.0   100      10      40.77        88.0
  0.5    50       10      20.22        87.0
  1.0    50       5       21.39        87.0
  1.0    50       10      20.31        87.0
  3.0    100      30      39.29        87.0
  10.0   10       5       4.34         87.0
  10.0   100      30      39.28        87.0
  1.0    10       5       4.33         86.0
  10.0   10       30      3.95         86.0
  0.5    100      5       42.68        85.0
  1.0    100      5       42.78        85.0
  3.0    50       5       21.37        85.0
  1.0    100      100     38.76        84.0
  1.0    50       30      19.61        83.0
  3.0    3        5       1.28         83.0
  3.0    50       100     19.41        83.0
  3.0    50       10      20.39        81.0
  3.0    10       10      4.11         79.0
  1.0    3        5       1.32         77.0
  3.0    10       5       4.36         77.0
  10.0   3        5       1.28         77.0
  3.0    10       30      3.94         76.0
  0.5    100      100     38.86        74.0
  1.0    3        10      1.23         74.0
  10.0   3        10      1.22         74.0
  0.5    10       5       4.22         73.0
  10.0   3        30      1.17         70.0
  0.5    50       100     19.21        69.0
  3.0    10       100     3.88         67.0
  1.0    10       30      3.95         66.0
  3.0    3        10      1.23         66.0
  3.0    3        30      1.17         65.0
  0.5    10       30      3.86         63.0
  10.0   50       100     19.44        63.0
  0.5    10       10      4.0          62.0
  0.5    3        5       1.28         59.0
  10.0   3        100     1.16         46.0
  10.0   10       100     3.89         46.0
  0.5    3        10      1.21         44.0
  0.5    10       100     3.82         44.0
  0.5    3        30      1.17         41.0
  3.0    3        100     1.16         40.0
  1.0    10       100     3.87         37.0
  1.0    3        30      1.19         29.0
  0.5    3        100     1.18         25.0
  1.0    3        100     1.17         21.0

  TOP 3 configuraciones para 784-30-10:
    1. lr=0.5, epochs=50, batch=5  →  94.0%  (21.34s)
    2. lr=0.5, epochs=50, batch=30  →  94.0%  (19.53s)
    3. lr=3.0, epochs=100, batch=5  →  93.0%  (42.8s)

──────────────────────────────────────────────────────────────────────
  ARQUITECTURA: 784-100-50-10  (64 experimentos)
──────────────────────────────────────────────────────────────────────
  LR     Epochs   Batch   Tiempo(s)    Precision(%)
  ────── ─────── ────── ─────────── ────────────
  10.0   100      30      129.94       95.0
  0.5    100      10      135.58       93.0
  1.0    10       10      13.55        92.0
  1.0    50       10      67.81        92.0
  1.0    100      5       143.26       92.0
  1.0    50       5       71.54        91.0
  3.0    50       10      67.68        91.0
  3.0    50       30      65.43        91.0
  3.0    100      10      135.9        91.0
  10.0   100      100     128.07       91.0
  1.0    100      10      135.73       90.0
  3.0    10       5       14.32        90.0
  0.5    50       30      64.89        89.0
  3.0    50       5       71.87        89.0
  3.0    100      30      130.81       89.0
  1.0    10       5       14.35        88.0
  3.0    10       30      13.11        88.0
  3.0    50       100     64.48        88.0
  3.0    100      5       142.9        88.0
  0.5    100      5       142.42       87.0
  0.5    100      30      130.38       87.0
  3.0    10       10      13.59        87.0
  3.0    3        10      4.07         86.0
  3.0    100      100     128.57       85.0
  0.5    10       5       14.27        84.0
  10.0   10       10      13.5         84.0
  10.0   50       30      65.06        84.0
  0.5    10       10      13.47        83.0
  0.5    50       10      67.42        82.0
  0.5    50       100     64.01        79.0
  0.5    50       5       71.01        78.0
  1.0    100      100     128.69       78.0
  10.0   50       100     64.09        78.0
  1.0    3        5       4.28         76.0
  0.5    100      100     128.96       75.0
  1.0    100      30      130.54       75.0
  3.0    3        5       4.31         74.0
  1.0    3        10      4.07         73.0
  1.0    50       30      65.13        73.0
  1.0    10       30      13.06        70.0
  1.0    50       100     64.31        70.0
  3.0    10       100     12.87        69.0
  0.5    3        5       4.35         68.0
  10.0   100      10      135.13       67.0
  0.5    10       30      12.95        65.0
  3.0    3        100     3.86         61.0
  1.0    3        30      3.96         56.0
  3.0    3        30      3.92         55.0
  1.0    10       100     12.89        54.0
  10.0   10       100     12.8         43.0
  10.0   10       5       14.37        42.0
  10.0   3        100     3.87         36.0
  10.0   10       30      13.02        35.0
  0.5    3        100     3.84         27.0
  10.0   50       5       71.31        26.0
  10.0   3        30      3.93         23.0
  10.0   3        10      4.08         22.0
  10.0   50       10      67.44        21.0
  10.0   3        5       4.28         17.0
  10.0   100      5       143.25       17.0
  1.0    3        100     3.93         15.0
  0.5    10       100     12.85        12.0
  0.5    3        30      3.9          9.0
  0.5    3        10      4.07         4.0

  TOP 3 configuraciones para 784-100-50-10:
    1. lr=10.0, epochs=100, batch=30  →  95.0%  (129.94s)
    2. lr=0.5, epochs=100, batch=10  →  93.0%  (135.58s)
    3. lr=1.0, epochs=10, batch=10  →  92.0%  (13.55s)

======================================================================
  MEJOR CONFIGURACION GLOBAL:
  Arquitectura=784-100-50-10 | lr=10.0 | epochs=100 | batch=30
  Precision: 95.0%   Tiempo: 129.94s
======================================================================
